@relation NNGC1_dataset_E1_V1_001
@attribute TimeStamp real [5, 374]
@attribute Lag04 real [0, 95]
@attribute Lag03 real [0, 95]
@attribute Lag02 real [0, 95]
@attribute Lag01 real [0, 95]
@attribute Lag00 real [0, 95]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
5, 4, 4, 43, 60, 49
6, 4, 43, 60, 49, 45
7, 43, 60, 49, 45, 58
8, 60, 49, 45, 58, 21
9, 49, 45, 58, 21, 3
10, 45, 58, 21, 3, 51
11, 58, 21, 3, 51, 64
12, 21, 3, 51, 64, 64
13, 3, 51, 64, 64, 63
14, 51, 64, 64, 63, 51
15, 64, 64, 63, 51, 27
16, 64, 63, 51, 27, 4
17, 63, 51, 27, 4, 42
18, 51, 27, 4, 42, 79
19, 27, 4, 42, 79, 72
20, 4, 42, 79, 72, 68
21, 42, 79, 72, 68, 51
22, 79, 72, 68, 51, 31
23, 72, 68, 51, 31, 8
24, 68, 51, 31, 8, 40
25, 51, 31, 8, 40, 58
26, 31, 8, 40, 58, 57
27, 8, 40, 58, 57, 76
28, 40, 58, 57, 76, 54
29, 58, 57, 76, 54, 31
30, 57, 76, 54, 31, 9
31, 76, 54, 31, 9, 53
32, 54, 31, 9, 53, 66
33, 31, 9, 53, 66, 76
34, 9, 53, 66, 76, 83
35, 53, 66, 76, 83, 80
36, 66, 76, 83, 80, 31
37, 76, 83, 80, 31, 6
38, 83, 80, 31, 6, 64
39, 80, 31, 6, 64, 92
40, 31, 6, 64, 92, 70
41, 6, 64, 92, 70, 77
42, 64, 92, 70, 77, 58
43, 92, 70, 77, 58, 28
44, 70, 77, 58, 28, 8
45, 77, 58, 28, 8, 38
46, 58, 28, 8, 38, 69
47, 28, 8, 38, 69, 58
48, 8, 38, 69, 58, 65
49, 38, 69, 58, 65, 57
50, 69, 58, 65, 57, 30
51, 58, 65, 57, 30, 1
52, 65, 57, 30, 1, 49
53, 57, 30, 1, 49, 89
54, 30, 1, 49, 89, 65
55, 1, 49, 89, 65, 73
56, 49, 89, 65, 73, 53
57, 89, 65, 73, 53, 26
58, 65, 73, 53, 26, 2
59, 73, 53, 26, 2, 48
60, 53, 26, 2, 48, 73
61, 26, 2, 48, 73, 74
62, 2, 48, 73, 74, 88
63, 48, 73, 74, 88, 57
64, 73, 74, 88, 57, 33
65, 74, 88, 57, 33, 3
66, 88, 57, 33, 3, 50
67, 57, 33, 3, 50, 63
68, 33, 3, 50, 63, 64
69, 3, 50, 63, 64, 73
70, 50, 63, 64, 73, 59
71, 63, 64, 73, 59, 28
72, 64, 73, 59, 28, 7
73, 73, 59, 28, 7, 56
74, 59, 28, 7, 56, 80
75, 28, 7, 56, 80, 60
76, 7, 56, 80, 60, 78
77, 56, 80, 60, 78, 57
78, 80, 60, 78, 57, 22
79, 60, 78, 57, 22, 2
80, 78, 57, 22, 2, 58
81, 57, 22, 2, 58, 83
82, 22, 2, 58, 83, 72
83, 2, 58, 83, 72, 73
84, 58, 83, 72, 73, 16
