@relation NNGC1_dataset_F1_V1_006
@attribute TimeStamp real [5, 1739]
@attribute Lag04 real [317, 18771]
@attribute Lag03 real [317, 18771]
@attribute Lag02 real [317, 18771]
@attribute Lag01 real [317, 18771]
@attribute Lag00 real [317, 18771]
@inputs Lag04, Lag03, Lag02, Lag01
@outputs Lag00
@data
5, 317, 549, 790, 1219, 1964
6, 549, 790, 1219, 1964, 3021
7, 790, 1219, 1964, 3021, 3607
8, 1219, 1964, 3021, 3607, 4297
9, 1964, 3021, 3607, 4297, 4862
10, 3021, 3607, 4297, 4862, 5816
11, 3607, 4297, 4862, 5816, 6517
12, 4297, 4862, 5816, 6517, 6742
13, 4862, 5816, 6517, 6742, 7419
14, 5816, 6517, 6742, 7419, 5985
15, 6517, 6742, 7419, 5985, 5127
16, 6742, 7419, 5985, 5127, 3601
17, 7419, 5985, 5127, 3601, 2964
18, 5985, 5127, 3601, 2964, 1895
19, 5127, 3601, 2964, 1895, 1513
20, 3601, 2964, 1895, 1513, 1039
21, 2964, 1895, 1513, 1039, 1027
22, 1895, 1513, 1039, 1027, 2501
23, 1513, 1039, 1027, 2501, 8744
24, 1039, 1027, 2501, 8744, 15004
25, 1027, 2501, 8744, 15004, 9604
26, 2501, 8744, 15004, 9604, 6218
27, 8744, 15004, 9604, 6218, 5983
28, 15004, 9604, 6218, 5983, 6755
29, 9604, 6218, 5983, 6755, 7274
30, 6218, 5983, 6755, 7274, 7131
31, 5983, 6755, 7274, 7131, 8060
32, 6755, 7274, 7131, 8060, 10273
33, 7274, 7131, 8060, 10273, 12959
34, 7131, 8060, 10273, 12959, 10772
35, 8060, 10273, 12959, 10772, 7545
36, 10273, 12959, 10772, 7545, 4688
37, 12959, 10772, 7545, 4688, 3262
38, 10772, 7545, 4688, 3262, 2018
39, 7545, 4688, 3262, 2018, 1466
40, 4688, 3262, 2018, 1466, 692
41, 3262, 2018, 1466, 692, 960
42, 2018, 1466, 692, 960, 2445
43, 1466, 692, 960, 2445, 9038
44, 692, 960, 2445, 9038, 15697
45, 960, 2445, 9038, 15697, 11082
46, 2445, 9038, 15697, 11082, 6893
47, 9038, 15697, 11082, 6893, 6274
48, 15697, 11082, 6893, 6274, 7104
49, 11082, 6893, 6274, 7104, 7849
50, 6893, 6274, 7104, 7849, 7183
51, 6274, 7104, 7849, 7183, 8342
52, 7104, 7849, 7183, 8342, 10122
53, 7849, 7183, 8342, 10122, 13249
54, 7183, 8342, 10122, 13249, 10995
55, 8342, 10122, 13249, 10995, 7970
56, 10122, 13249, 10995, 7970, 4769
57, 13249, 10995, 7970, 4769, 2853
58, 10995, 7970, 4769, 2853, 2009
59, 7970, 4769, 2853, 2009, 1664
60, 4769, 2853, 2009, 1664, 707
61, 2853, 2009, 1664, 707, 1155
62, 2009, 1664, 707, 1155, 2667
63, 1664, 707, 1155, 2667, 9354
64, 707, 1155, 2667, 9354, 15827
65, 1155, 2667, 9354, 15827, 10760
66, 2667, 9354, 15827, 10760, 7088
67, 9354, 15827, 10760, 7088, 6269
68, 15827, 10760, 7088, 6269, 7719
69, 10760, 7088, 6269, 7719, 7781
70, 7088, 6269, 7719, 7781, 8325
71, 6269, 7719, 7781, 8325, 9321
72, 7719, 7781, 8325, 9321, 10919
73, 7781, 8325, 9321, 10919, 14469
74, 8325, 9321, 10919, 14469, 12295
75, 9321, 10919, 14469, 12295, 8977
76, 10919, 14469, 12295, 8977, 5597
77, 14469, 12295, 8977, 5597, 3793
78, 12295, 8977, 5597, 3793, 2311
79, 8977, 5597, 3793, 2311, 1772
80, 5597, 3793, 2311, 1772, 853
81, 3793, 2311, 1772, 853, 1046
82, 2311, 1772, 853, 1046, 2620
83, 1772, 853, 1046, 2620, 9767
84, 853, 1046, 2620, 9767, 17621
85, 1046, 2620, 9767, 17621, 11360
86, 2620, 9767, 17621, 11360, 7141
87, 9767, 17621, 11360, 7141, 6547
88, 17621, 11360, 7141, 6547, 7394
89, 11360, 7141, 6547, 7394, 8384
90, 7141, 6547, 7394, 8384, 7573
91, 6547, 7394, 8384, 7573, 8592
92, 7394, 8384, 7573, 8592, 10450
93, 8384, 7573, 8592, 10450, 13708
94, 7573, 8592, 10450, 13708, 11739
95, 8592, 10450, 13708, 11739, 8726
96, 10450, 13708, 11739, 8726, 5431
97, 13708, 11739, 8726, 5431, 3595
98, 11739, 8726, 5431, 3595, 2410
99, 8726, 5431, 3595, 2410, 2051
100, 5431, 3595, 2410, 2051, 949
101, 3595, 2410, 2051, 949, 1291
102, 2410, 2051, 949, 1291, 2686
103, 2051, 949, 1291, 2686, 9574
104, 949, 1291, 2686, 9574, 16877
105, 1291, 2686, 9574, 16877, 11224
106, 2686, 9574, 16877, 11224, 7463
107, 9574, 16877, 11224, 7463, 7159
108, 16877, 11224, 7463, 7159, 8406
109, 11224, 7463, 7159, 8406, 8596
110, 7463, 7159, 8406, 8596, 8178
111, 7159, 8406, 8596, 8178, 9088
112, 8406, 8596, 8178, 9088, 11109
113, 8596, 8178, 9088, 11109, 12931
114, 8178, 9088, 11109, 12931, 10591
115, 9088, 11109, 12931, 10591, 8697
116, 11109, 12931, 10591, 8697, 5701
117, 12931, 10591, 8697, 5701, 3966
118, 10591, 8697, 5701, 3966, 2773
119, 8697, 5701, 3966, 2773, 2489
120, 5701, 3966, 2773, 2489, 1444
121, 3966, 2773, 2489, 1444, 717
122, 2773, 2489, 1444, 717, 1056
123, 2489, 1444, 717, 1056, 2305
124, 1444, 717, 1056, 2305, 3911
125, 717, 1056, 2305, 3911, 5105
126, 1056, 2305, 3911, 5105, 5721
127, 2305, 3911, 5105, 5721, 6466
128, 3911, 5105, 5721, 6466, 7155
129, 5105, 5721, 6466, 7155, 8036
130, 5721, 6466, 7155, 8036, 9072
131, 6466, 7155, 8036, 9072, 10479
132, 7155, 8036, 9072, 10479, 10619
133, 8036, 9072, 10479, 10619, 11326
134, 9072, 10479, 10619, 11326, 9990
135, 10479, 10619, 11326, 9990, 8859
136, 10619, 11326, 9990, 8859, 5978
137, 11326, 9990, 8859, 5978, 4301
138, 9990, 8859, 5978, 4301, 3139
139, 8859, 5978, 4301, 3139, 3032
140, 5978, 4301, 3139, 3032, 2159
141, 4301, 3139, 3032, 2159, 465
142, 3139, 3032, 2159, 465, 589
143, 3032, 2159, 465, 589, 870
144, 2159, 465, 589, 870, 1508
145, 465, 589, 870, 1508, 2473
146, 589, 870, 1508, 2473, 3400
147, 870, 1508, 2473, 3400, 4111
148, 1508, 2473, 3400, 4111, 4978
149, 2473, 3400, 4111, 4978, 5289
150, 3400, 4111, 4978, 5289, 6151
151, 4111, 4978, 5289, 6151, 6821
152, 4978, 5289, 6151, 6821, 6761
153, 5289, 6151, 6821, 6761, 7463
154, 6151, 6821, 6761, 7463, 6579
155, 6821, 6761, 7463, 6579, 5560
156, 6761, 7463, 6579, 5560, 3829
157, 7463, 6579, 5560, 3829, 2993
158, 6579, 5560, 3829, 2993, 1954
159, 5560, 3829, 2993, 1954, 1769
160, 3829, 2993, 1954, 1769, 1948
161, 2993, 1954, 1769, 1948, 1144
162, 1954, 1769, 1948, 1144, 2657
163, 1769, 1948, 1144, 2657, 9723
164, 1948, 1144, 2657, 9723, 17449
165, 1144, 2657, 9723, 17449, 11176
166, 2657, 9723, 17449, 11176, 6758
167, 9723, 17449, 11176, 6758, 6213
168, 17449, 11176, 6758, 6213, 7148
169, 11176, 6758, 6213, 7148, 7959
170, 6758, 6213, 7148, 7959, 7616
171, 6213, 7148, 7959, 7616, 8340
172, 7148, 7959, 7616, 8340, 10252
173, 7959, 7616, 8340, 10252, 13603
174, 7616, 8340, 10252, 13603, 11444
175, 8340, 10252, 13603, 11444, 8318
176, 10252, 13603, 11444, 8318, 5189
